Employee ID,Taxable Salary,Income Tax,Net Tax Rate %
321,"11,619.00",—,0.00%
356,270.00,—,0.00%
108,"19,501.00",—,0.00%
144,501.00,—,0.00%
195,—,—,0.00%
133,"1,271.00",—,0.00%
163,"1,085.00",—,0.00%
139,"15,638.00",—,0.00%
199,456.00,—,0.00%
152,"3,290.00",—,0.00%
135,"9,207.00",—,0.00%
154,"2,345.00",—,0.00%
114,"1,094.00",—,0.00%
164,"1,394.00",—,0.00%
180,"1,675.00",—,0.00%
343,229.00,—,0.00%
254,"22,207.00",—,0.00%
159,410.00,—,0.00%
127,"1,094.00",—,0.00%
183,"3,902.00",—,0.00%
170,"10,983.00",—,0.00%
117,"2,946.00",—,0.00%
126,"4,239.00",—,0.00%
119,497.00,—,0.00%
132,415.00,—,0.00%
149,"4,068.00",—,0.00%
358,221.00,—,0.00%
130,"3,316.00",—,0.00%
201,"25,376.00",—,0.00%
123,"1,127.00",—,0.00%
116,"31,807.00",—,0.00%
339,546.00,—,0.00%
128,"3,501.00",—,0.00%
156,—,—,0.00%
115,830.00,—,0.00%
155,"1,624.00",—,0.00%
109,"24,772.00",—,0.00%
178,"3,815.00",—,0.00%
158,"3,688.00",—,0.00%
148,"4,071.00",—,0.00%
140,453.00,—,0.00%
107,"44,050.00",—,0.00%
172,"3,285.00",—,0.00%
330,853.00,—,0.00%
336,451.00,—,0.00%
146,"1,790.00",—,0.00%
167,"1,223.00",—,0.00%
113,"3,826.00",—,0.00%
189,"1,512.00",—,0.00%
161,"3,357.00",—,0.00%
177,"3,815.00",—,0.00%
162,"3,441.00",—,0.00%
138,"1,191.00",—,0.00%
176,"7,548.00",—,0.00%
363,171.00,—,0.00%
120,"4,160.00",—,0.00%
106,"1,918.00",—,0.00%
118,492.00,—,0.00%
347,998.00,—,0.00%
166,"2,611.00",—,0.00%
237,"5,985.00",—,0.00%
165,481.00,—,0.00%
103,"24,774.00",—,0.00%
134,"3,893.00",—,0.00%
344,—,—,0.00%
340,549.00,—,0.00%
175,"3,844.00",—,0.00%
131,—,—,0.00%
121,515.00,—,0.00%
143,"3,560.00",—,0.00%
111,"1,585.00",—,0.00%
186,"3,593.00",—,0.00%
348,452.00,—,0.00%
194,—,—,0.00%
174,"3,814.00",—,0.00%
355,324.00,—,0.00%
136,"1,108.00",—,0.00%
125,877.00,—,0.00%
196,—,—,0.00%
349,495.00,—,0.00%
338,581.00,—,0.00%
367,—,—,0.00%
368,—,—,0.00%

TOTAL,"368,605.00",0.00,0.00%
